Italy , Death rates (period 1x10), 	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1890-1899       42             0.010127        0.009881        0.010005
1890-1899       43             0.010058        0.010226        0.010141
1890-1899       44             0.009829        0.010479        0.010151
1890-1899       45             0.009503        0.010675        0.010085
1890-1899       46             0.009437        0.011055        0.010240
1890-1899       47             0.009720        0.011674        0.010689
1890-1899       48             0.010328        0.012498        0.011404
1890-1899       49             0.011294        0.013549        0.012412
1890-1899       50             0.012567        0.014799        0.013673
1890-1899       51             0.013667        0.015906        0.014777
1890-1899       52             0.014483        0.016802        0.015633
1890-1899       53             0.015077        0.017562        0.016310
1890-1899       54             0.015404        0.018169        0.016776
1890-1899       55             0.015522        0.018648        0.017071
1890-1899       56             0.016105        0.019481        0.017775
1890-1899       57             0.017388        0.020849        0.019098
1890-1899       58             0.019356        0.022720        0.021015
1890-1899       59             0.022129        0.025179        0.023632
1890-1899       60             0.025767        0.028305        0.027017
1890-1899       61             0.029623        0.031651        0.030622
1890-1899       62             0.033461        0.035042        0.034240
1890-1899       63             0.037535        0.038690        0.038105
1890-1899       64             0.041937        0.042717        0.042322
1890-1899       65             0.046510        0.047012        0.046758
1890-1899       66             0.051437        0.051604        0.051519
1890-1899       67             0.056688        0.056444        0.056567
1890-1899       68             0.061793        0.061089        0.061443
1890-1899       69             0.066621        0.065455        0.066041
1890-1899       70             0.071608        0.069970        0.070794
1890-1899       71             0.076466        0.074397        0.075437
1890-1899       72             0.081223        0.078837        0.080035
1890-1899       73             0.087110        0.084325        0.085721
1890-1899       74             0.093942        0.090838        0.092392
1890-1899       75             0.118425        0.111353        0.114884
1890-1899       76             0.133586        0.124948        0.129244
1890-1899       77             0.151749        0.140925        0.146281
1890-1899       78             0.171887        0.158807        0.165251
1890-1899       79             0.195080        0.179110        0.186936
1890-1899       80             0.158951        0.158977        0.158964
1890-1899       81             0.172954        0.172576        0.172768
1890-1899       82             0.187431        0.186682        0.187060
1890-1899       83             0.201958        0.201031        0.201495
1890-1899       84             0.215850        0.215310        0.215578
1890-1899       85             0.228751        0.229399        0.229080
1890-1899       86             0.242077        0.244210        0.243172
1890-1899       87             0.255771        0.259789        0.257857
1890-1899       88             0.268409        0.275544        0.272154
1890-1899       89             0.281987        0.293339        0.288009
1890-1899       90             0.303674        0.312867        0.308613
1890-1899       91             0.321428        0.332642        0.327547
1890-1899       92             0.339434        0.353017        0.346967
1890-1899       93             0.357961        0.373902        0.366955
1890-1899       94             0.376645        0.394696        0.387018
1890-1899       95             0.395067        0.415545        0.407053
1890-1899       96             0.413749        0.436928        0.427571
1890-1899       97             0.433586        0.458587        0.448787
1890-1899       98             0.455993        0.481107        0.471584
1890-1899       99             0.483993        0.506473        0.498266
1890-1899      100             0.522373        0.535495        0.530925
1890-1899      101             0.580352        0.569609        0.573121
1890-1899      102             0.690582        0.621181        0.641796
1890-1899      103             0.913700        0.729911        0.774927
1890-1899      104             1.065421        1.026902        1.034145
1890-1899      105             1.484321        1.457143        1.461255
1890-1899      106                   .        2.424658        2.424658
1890-1899      107                   .              .              .
1890-1899      108                   .              .              .
1890-1899      109                   .              .              .
