Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1920-1929       32             0.007473        0.007244        0.007363
1920-1929       33             0.007001        0.007540        0.007259
1920-1929       34             0.007214        0.007310        0.007260
1920-1929       35             0.007972        0.008182        0.008073
1920-1929       36             0.007809        0.008079        0.007939
1920-1929       37             0.006568        0.007561        0.007046
1920-1929       38             0.008566        0.009341        0.008939
1920-1929       39             0.006009        0.007479        0.006717
1920-1929       40             0.012339        0.013127        0.012719
1920-1929       41             0.005141        0.006724        0.005903
1920-1929       42             0.009369        0.011929        0.010598
1920-1929       43             0.006697        0.009337        0.007963
1920-1929       44             0.008139        0.011253        0.009630
1920-1929       45             0.010482        0.014568        0.012437
1920-1929       46             0.008592        0.012298        0.010363
1920-1929       47             0.007627        0.011450        0.009453
1920-1929       48             0.010702        0.015639        0.013059
1920-1929       49             0.007547        0.012258        0.009793
1920-1929       50             0.017663        0.022853        0.020136
1920-1929       51             0.007175        0.011391        0.009180
1920-1929       52             0.012988        0.019573        0.016114
1920-1929       53             0.010429        0.016519        0.013319
1920-1929       54             0.013715        0.019876        0.016645
1920-1929       55             0.016208        0.023338        0.019605
1920-1929       56             0.016786        0.023849        0.020152
1920-1929       57             0.013273        0.020794        0.016857
1920-1929       58             0.020058        0.028413        0.024037
1920-1929       59             0.014093        0.023588        0.018598
1920-1929       60             0.042741        0.048217        0.045333
1920-1929       61             0.015165        0.023328        0.019027
1920-1929       62             0.029312        0.040132        0.034422
1920-1929       63             0.026558        0.038637        0.032240
1920-1929       64             0.034688        0.044985        0.039514
1920-1929       65             0.044794        0.055284        0.049692
1920-1929       66             0.040922        0.053481        0.046758
1920-1929       67             0.038284        0.052543        0.044881
1920-1929       68             0.051988        0.062239        0.056711
1920-1929       69             0.033617        0.046230        0.039395
1920-1929       70             0.113495        0.109937        0.111867
1920-1929       71             0.038827        0.052519        0.045079
1920-1929       72             0.081809        0.098118        0.089210
1920-1929       73             0.070148        0.091762        0.079892
1920-1929       74             0.089604        0.111987        0.099619
1920-1929       75             0.125196        0.144779        0.133900
1920-1929       76             0.113931        0.135281        0.123354
1920-1929       77             0.109508        0.140990        0.123242
1920-1929       78             0.160974        0.194230        0.175259
1920-1929       79             0.096197        0.130540        0.110703
1920-1929       80             0.218473        0.233192        0.224195
1920-1929       81             0.074497        0.104195        0.085952
1920-1929       82             0.143179        0.177552        0.156253
1920-1929       83             0.114057        0.156521        0.129924
1920-1929       84             0.179051        0.233892        0.199055
1920-1929       85             0.201800        0.246197        0.217554
1920-1929       86             0.193400        0.244395        0.211033
1920-1929       87             0.175442        0.235648        0.195627
1920-1929       88             0.212411        0.296035        0.239318
1920-1929       89             0.160297        0.231463        0.182121
1920-1929       90             0.380740        0.400685        0.386680
1920-1929       91             0.126115        0.161302        0.136481
1920-1929       92             0.221062        0.272829        0.236012
1920-1929       93             0.204089        0.269836        0.222448
1920-1929       94             0.233422        0.294919        0.249866
1920-1929       95             0.320535        0.345772        0.327072
1920-1929       96             0.361499        0.436073        0.380297
1920-1929       97             0.327577        0.408768        0.347003
1920-1929       98             0.496984        0.554232        0.510042
1920-1929       99             0.388578        0.505617        0.413970
1920-1929      100             0.569206        0.639073        0.583462
1920-1929      101             0.409501        0.488336        0.425100
1920-1929      102             0.426282        0.495368        0.439641
1920-1929      103             0.445124        0.519943        0.458933
1920-1929      104             0.463811        0.577427        0.482811
1920-1929      105             0.488612        0.704380        0.519122
1920-1929      106             0.515685        0.472356        0.510980
1920-1929      107             0.559110        0.000000        0.498783
1920-1929      108             0.741354        0.000000        0.647935
1920-1929      109             0.510107        0.000000        0.404145
1920-1929      110+            0.000000        0.000000        0.000000
1930-1939        0             0.122350        0.144341        0.133613
1930-1939        1             0.041537        0.043811        0.042693
1930-1939        2             0.018482        0.019310        0.018903
1930-1939        3             0.010365        0.010714        0.010542
1930-1939        4             0.007173        0.007397        0.007286
1930-1939        5             0.005170        0.005556        0.005365
1930-1939        6             0.004337        0.004597        0.004469
1930-1939        7             0.003223        0.003598        0.003412
1930-1939        8             0.002706        0.003081        0.002895
1930-1939        9             0.002384        0.002800        0.002594
1930-1939       10             0.002264        0.002603        0.002435
1930-1939       11             0.002154        0.002441        0.002298
1930-1939       12             0.002295        0.002569        0.002432
1930-1939       13             0.002346        0.002437        0.002391
1930-1939       14             0.002867        0.002974        0.002920
1930-1939       15             0.003020        0.003119        0.003069
1930-1939       16             0.003332        0.003736        0.003531
1930-1939       17             0.003830        0.004880        0.004345
1930-1939       18             0.004427        0.006798        0.005585
1930-1939       19             0.004063        0.007270        0.005619
1930-1939       20             0.004609        0.007950        0.006221
1930-1939       21             0.004153        0.007864        0.005942
1930-1939       22             0.005210        0.008557        0.006826
1930-1939       23             0.005160        0.008649        0.006844
1930-1939       24             0.005294        0.008511        0.006846
1930-1939       25             0.005111        0.008526        0.006759
1930-1939       26             0.005345        0.008100        0.006677
1930-1939       27             0.005199        0.008137        0.006623
1930-1939       28             0.005698        0.008625        0.007119
1930-1939       29             0.004459        0.007150        0.005768
1930-1939       30             0.006503        0.008588        0.007518
1930-1939       31             0.003807        0.006136        0.004938
1930-1939       32             0.005729        0.008214        0.006932
1930-1939       33             0.005550        0.008163        0.006814
1930-1939       34             0.005333        0.008053        0.006648
1930-1939       35             0.006264        0.009218        0.007690
1930-1939       36             0.006149        0.009746        0.007882
1930-1939       37             0.005440        0.008461        0.006894
1930-1939       38             0.006853        0.009211        0.007988
1930-1939       39             0.005210        0.008648        0.006867
1930-1939       40             0.009288        0.012572        0.010872
1930-1939       41             0.004531        0.008086        0.006243
1930-1939       42             0.007711        0.012464        0.010001
1930-1939       43             0.005942        0.010290        0.008036
1930-1939       44             0.006972        0.011615        0.009208
1930-1939       45             0.009016        0.015320        0.012049
