The United States of America, Death rates (period 1x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959       38             0.002166        0.003285        0.002713
1950-1959       39             0.002373        0.003626        0.002987
1950-1959       40             0.002589        0.004017        0.003290
1950-1959       41             0.002803        0.004375        0.003578
1950-1959       42             0.003068        0.004893        0.003968
1950-1959       43             0.003308        0.005356        0.004319
1950-1959       44             0.003565        0.005863        0.004699
1950-1959       45             0.003843        0.006416        0.005114
1950-1959       46             0.004183        0.007063        0.005606
1950-1959       47             0.004536        0.007770        0.006136
1950-1959       48             0.004921        0.008465        0.006677
1950-1959       49             0.005439        0.009474        0.007440
1950-1959       50             0.005973        0.010499        0.008218
1950-1959       51             0.006445        0.011491        0.008947
1950-1959       52             0.007030        0.012602        0.009795
1950-1959       53             0.007633        0.013847        0.010717
1950-1959       54             0.008281        0.015100        0.011665
1950-1959       55             0.008792        0.016288        0.012507
1950-1959       56             0.009477        0.017650        0.013523
1950-1959       57             0.010156        0.018971        0.014513
1950-1959       58             0.010991        0.020369        0.015621
1950-1959       59             0.011894        0.022109        0.016925
1950-1959       60             0.013008        0.024108        0.018462
1950-1959       61             0.014116        0.026006        0.019945
1950-1959       62             0.015511        0.028132        0.021681
1950-1959       63             0.017030        0.030607        0.023640
1950-1959       64             0.018667        0.033212        0.025719
1950-1959       65             0.020543        0.035959        0.027984
1950-1959       66             0.022120        0.038404        0.029932
1950-1959       67             0.024120        0.041039        0.032198
1950-1959       68             0.026386        0.043801        0.034666
1950-1959       69             0.028654        0.046397        0.037071
1950-1959       70             0.031909        0.050342        0.040614
1950-1959       71             0.035060        0.054200        0.044062
1950-1959       72             0.039257        0.058827        0.048429
1950-1959       73             0.043153        0.063114        0.052464
1950-1959       74             0.048272        0.069150        0.057956
1950-1959       75             0.053635        0.074797        0.063402
1950-1959       76             0.059063        0.080749        0.069016
1950-1959       77             0.064720        0.086648        0.074733
1950-1959       78             0.071670        0.094197        0.081865
1950-1959       79             0.078838        0.102038        0.089229
1950-1959       80             0.084158        0.111873        0.096141
1950-1959       81             0.091964        0.120716        0.104269
1950-1959       82             0.102145        0.131842        0.114714
1950-1959       83             0.113557        0.143933        0.126261
1950-1959       84             0.126021        0.157143        0.138887
1950-1959       85             0.139358        0.170706        0.152162
1950-1959       86             0.151535        0.186495        0.165628
1950-1959       87             0.164397        0.201309        0.179049
1950-1959       88             0.175379        0.211003        0.189288
1950-1959       89             0.191143        0.230009        0.206067
1950-1959       90             0.216595        0.249599        0.229067
1950-1959       91             0.219577        0.257618        0.233725
1950-1959       92             0.243172        0.281285        0.257088
1950-1959       93             0.263951        0.302760        0.277853
1950-1959       94             0.285353        0.318886        0.297147
1950-1959       95             0.303251        0.332428        0.313355
1950-1959       96             0.316457        0.356753        0.330203
1950-1959       97             0.333898        0.368925        0.345644
1950-1959       98             0.348909        0.372970        0.356885
1950-1959       99             0.325117        0.342093        0.330731
1950-1959      100             0.386158        0.414189        0.395426
1950-1959      101             0.343238        0.338120        0.341535
1950-1959      102             0.346372        0.351740        0.348191
1950-1959      103             0.315721        0.315182        0.315537
1950-1959      104             0.312556        0.282561        0.302201
1950-1959      105             0.315909        0.287632        0.305904
1950-1959      106             0.268742        0.278220        0.272112
1950-1959      107             0.232790        0.238835        0.234927
1950-1959      108             0.231969        0.233233        0.232415
1950-1959      109             0.223786        0.135544        0.191716
1950-1959      110+            0.229352        0.199932        0.217980
1960-1969        0             0.021289        0.027879        0.024646
1960-1969        1             0.001457        0.001665        0.001563
1960-1969        2             0.000881        0.001079        0.000982
1960-1969        3             0.000665        0.000831        0.000750
1960-1969        4             0.000547        0.000689        0.000619
1960-1969        5             0.000483        0.000607        0.000546
1960-1969        6             0.000407        0.000562        0.000486
1960-1969        7             0.000365        0.000504        0.000436
1960-1969        8             0.000333        0.000472        0.000404
1960-1969        9             0.000298        0.000447        0.000374
1960-1969       10             0.000276        0.000423        0.000351
1960-1969       11             0.000287        0.000447        0.000369
1960-1969       12             0.000299        0.000482        0.000392
1960-1969       13             0.000320        0.000576        0.000450
1960-1969       14             0.000355        0.000684        0.000522
1960-1969       15             0.000431        0.000856        0.000647
1960-1969       16             0.000512        0.001175        0.000849
1960-1969       17             0.000578        0.001430        0.001009
1960-1969       18             0.000643        0.001733        0.001189
1960-1969       19             0.000678        0.001885        0.001273
1960-1969       20             0.000663        0.001876        0.001252
1960-1969       21             0.000708        0.002029        0.001348
1960-1969       22             0.000713        0.002019        0.001347
1960-1969       23             0.000727        0.001968        0.001329
1960-1969       24             0.000753        0.001838        0.001280
1960-1969       25             0.000804        0.001847        0.001314
1960-1969       26             0.000813        0.001836        0.001314
1960-1969       27             0.000856        0.001831        0.001334
1960-1969       28             0.000914        0.001865        0.001380
1960-1969       29             0.000970        0.001874        0.001414
1960-1969       30             0.001033        0.001900        0.001459
1960-1969       31             0.001122        0.001990        0.001549
1960-1969       32             0.001239        0.002101        0.001662
1960-1969       33             0.001315        0.002242        0.001770
1960-1969       34             0.001438        0.002347        0.001883
1960-1969       35             0.001564        0.002561        0.002051
1960-1969       36             0.001661        0.002724        0.002180
1960-1969       37             0.001803        0.002954        0.002364
1960-1969       38             0.001990        0.003277        0.002616
1960-1969       39             0.002173        0.003543        0.002840
1960-1969       40             0.002344        0.003894        0.003098
1960-1969       41             0.002480        0.004174        0.003305
1960-1969       42             0.002825        0.004726        0.003750
1960-1969       43             0.003055        0.005092        0.004046
1960-1969       44             0.003236        0.005605        0.004389
1960-1969       45             0.003572        0.006234        0.004868
1960-1969       46             0.003833        0.006737        0.005248
1960-1969       47             0.004269        0.007554        0.005870
1960-1969       48             0.004601        0.008257        0.006384
1960-1969       49             0.004987        0.009106        0.006997
1960-1969       50             0.005494        0.010223        0.007803
1960-1969       51             0.005759        0.010995        0.008315
1960-1969       52             0.006410        0.012329        0.009298
1960-1969       53             0.006761        0.013272        0.009934
1960-1969       54             0.007259        0.014444        0.010755
1960-1969       55             0.007649        0.015518        0.011470
1960-1969       56             0.008217        0.016728        0.012341
1960-1969       57             0.008864        0.018216        0.013383
1960-1969       58             0.009748        0.019994        0.014684
1960-1969       59             0.010625        0.022058        0.016112
1960-1969       60             0.011927        0.024306        0.017845
1960-1969       61             0.012577        0.026044        0.018987
1960-1969       62             0.014693        0.029366        0.021639
1960-1969       63             0.015417        0.031084        0.022783
1960-1969       64             0.016514        0.033460        0.024418
1960-1969       65             0.018877        0.037167        0.027341
1960-1969       66             0.019368        0.038120        0.027969
1960-1969       67             0.021625        0.041900        0.030851
1960-1969       68             0.023494        0.044473        0.032980
1960-1969       69             0.024984        0.046786        0.034785
1960-1969       70             0.028383        0.051212        0.038585
1960-1969       71             0.029328        0.053317        0.039990
1960-1969       72             0.034853        0.060489        0.046187
1960-1969       73             0.037683        0.063836        0.049183
1960-1969       74             0.041886        0.069232        0.053833
1960-1969       75             0.047648        0.075637        0.059790
1960-1969       76             0.051549        0.080526        0.064033
1960-1969       77             0.056187        0.086308        0.069060
1960-1969       78             0.064605        0.094872        0.077422
1960-1969       79             0.071598        0.102763        0.084654
1960-1969       80             0.079461        0.113289        0.093205
1960-1969       81             0.082849        0.117470        0.096737
1960-1969       82             0.095265        0.131434        0.109580
1960-1969       83             0.106793        0.144074        0.121341
1960-1969       84             0.118726        0.157817        0.133752
1960-1969       85             0.130857        0.170424        0.145822
1960-1969       86             0.143358        0.184154        0.158532
1960-1969       87             0.158870        0.199745        0.173822
1960-1969       88             0.171220        0.212494        0.186069
1960-1969       89             0.187759        0.231742        0.203310
1960-1969       90             0.209396        0.251099        0.223888
1960-1969       91             0.216969        0.260604        0.231872
1960-1969       92             0.240553        0.284884        0.255417
1960-1969       93             0.260749        0.306458        0.275787
1960-1969       94             0.282103        0.323350        0.295442
1960-1969       95             0.300879        0.341165        0.313737
1960-1969       96             0.320932        0.356276        0.332050
1960-1969       97             0.341078        0.380652        0.353338
1960-1969       98             0.351438        0.377768        0.359472
1960-1969       99             0.359780        0.383880        0.367029
1960-1969      100             0.382401        0.403763        0.388768
1960-1969      101             0.361970        0.372018        0.364958
1960-1969      102             0.380446        0.367308        0.376483
1960-1969      103             0.361856        0.330379        0.352055
1960-1969      104             0.363671        0.322613        0.350305
1960-1969      105             0.381978        0.351924        0.371861
1960-1969      106             0.317765        0.324166        0.319965
1960-1969      107             0.296149        0.295600        0.295956
1960-1969      108             0.309440        0.297334        0.305127
1960-1969      109             0.266209        0.256483        0.262709
1960-1969      110+            0.263619        0.279166        0.269418
1970-1979        0             0.014560        0.018613        0.016633
1970-1979        1             0.001032        0.001204        0.001120
1970-1979        2             0.000674        0.000852        0.000765
1970-1979        3             0.000506        0.000688        0.000599
1970-1979        4             0.000421        0.000558        0.000491
1970-1979        5             0.000377        0.000518        0.000449
1970-1979        6             0.000334        0.000466        0.000401
1970-1979        7             0.000295        0.000425        0.000361
1970-1979        8             0.000274        0.000397        0.000337
1970-1979        9             0.000251        0.000381        0.000317
1970-1979       10             0.000236        0.000364        0.000301
1970-1979       11             0.000238        0.000378        0.000309
1970-1979       12             0.000251        0.000421        0.000338
1970-1979       13             0.000289        0.000512        0.000402
1970-1979       14             0.000333        0.000650        0.000495
1970-1979       15             0.000422        0.000850        0.000640
1970-1979       16             0.000514        0.001213        0.000870
1970-1979       17             0.000589        0.001538        0.001071
1970-1979       18             0.000663        0.001911        0.001293
1970-1979       19             0.000659        0.002004        0.001333
1970-1979       20             0.000654        0.002009        0.001330
1970-1979       21             0.000681        0.002138        0.001406
1970-1979       22             0.000691        0.002147        0.001413
1970-1979       23             0.000683        0.002098        0.001383
1970-1979       24             0.000685        0.002003        0.001338
1970-1979       25             0.000696        0.001991        0.001339
1970-1979       26             0.000736        0.001935        0.001331
1970-1979       27             0.000751        0.001928        0.001334
1970-1979       28             0.000800        0.001944        0.001366
1970-1979       29             0.000811        0.001899        0.001349
1970-1979       30             0.000832        0.001888        0.001355
1970-1979       31             0.000933        0.001967        0.001444
1970-1979       32             0.000994        0.002062        0.001520
1970-1979       33             0.001093        0.002175        0.001623
1970-1979       34             0.001142        0.002231        0.001676
1970-1979       35             0.001264        0.002391        0.001817
1970-1979       36             0.001384        0.002582        0.001970
1970-1979       37             0.001529        0.002765        0.002132
1970-1979       38             0.001674        0.003028        0.002335
1970-1979       39             0.001786        0.003237        0.002494
1970-1979       40             0.001981        0.003475        0.002712
1970-1979       41             0.002158        0.003817        0.002969
1970-1979       42             0.002469        0.004296        0.003363
1970-1979       43             0.002688        0.004661        0.003652
1970-1979       44             0.002885        0.005075        0.003954
1970-1979       45             0.003141        0.005680        0.004375
1970-1979       46             0.003476        0.006203        0.004801
1970-1979       47             0.003793        0.006775        0.005239
1970-1979       48             0.004070        0.007489        0.005720
1970-1979       49             0.004336        0.008106        0.006151
1970-1979       50             0.004862        0.009072        0.006890
1970-1979       51             0.005052        0.009660        0.007266
1970-1979       52             0.005550        0.010620        0.007980
1970-1979       53             0.005980        0.011413        0.008583
1970-1979       54             0.006425        0.012614        0.009387
1970-1979       55             0.006946        0.013780        0.010211
1970-1979       56             0.007606        0.014980        0.011121
1970-1979       57             0.008198        0.016519        0.012155
1970-1979       58             0.008917        0.018017        0.013218
1970-1979       59             0.009532        0.019474        0.014215
1970-1979       60             0.010766        0.022059        0.016071
1970-1979       61             0.011201        0.022994        0.016736
1970-1979       62             0.012404        0.025563        0.018525
1970-1979       63             0.013019        0.027385        0.019658
1970-1979       64             0.014008        0.029464        0.021070
1970-1979       65             0.015522        0.032338        0.023122
1970-1979       66             0.016216        0.034066        0.024187
1970-1979       67             0.017943        0.037181        0.026476
1970-1979       68             0.019361        0.039827        0.028347
1970-1979       69             0.021550        0.043289        0.031026
1970-1979       70             0.025057        0.049203        0.035437
1970-1979       71             0.026166        0.050544        0.036599
1970-1979       72             0.029889        0.056790        0.041225
1970-1979       73             0.032288        0.059748        0.043742
1970-1979       74             0.035815        0.065398        0.047946
1970-1979       75             0.040217        0.071551        0.052862
1970-1979       76             0.043023        0.075508        0.055915
1970-1979       77             0.046734        0.080967        0.060093
1970-1979       78             0.051270        0.084697        0.064221
1970-1979       79             0.057126        0.092664        0.070693
1970-1979       80             0.065241        0.103425        0.079421
1970-1979       81             0.069945        0.110101        0.084617
1970-1979       82             0.078835        0.120379        0.093768
1970-1979       83             0.088211        0.130982        0.103316
1970-1979       84             0.098369        0.142549        0.113697
1970-1979       85             0.107921        0.153052        0.123300
1970-1979       86             0.120060        0.166453        0.135576
1970-1979       87             0.131169        0.178891        0.146821
1970-1979       88             0.143505        0.191705        0.159009
1970-1979       89             0.157945        0.208128        0.173778
1970-1979       90             0.176033        0.224289        0.190964
1970-1979       91             0.187131        0.237571        0.202415
1970-1979       92             0.207084        0.258732        0.222392
1970-1979       93             0.226547        0.279315        0.241827
1970-1979       94             0.247145        0.295632        0.260848
1970-1979       95             0.265171        0.315652        0.279109
1970-1979       96             0.285521        0.338898        0.299912
1970-1979       97             0.307118        0.352858        0.319201
1970-1979       98             0.322347        0.366679        0.333872
1970-1979       99             0.329754        0.380799        0.342851
1970-1979      100             0.353760        0.381946        0.360904
1970-1979      101             0.363388        0.380947        0.367823
1970-1979      102             0.365381        0.373485        0.367440
1970-1979      103             0.380258        0.373317        0.378447
1970-1979      104             0.382753        0.345266        0.372518
1970-1979      105             0.369628        0.378180        0.372095
1970-1979      106             0.366052        0.331193        0.355650
1970-1979      107             0.322547        0.312122        0.319292
1970-1979      108             0.347698        0.316863        0.337800
1970-1979      109             0.286348        0.323427        0.298363
1970-1979      110+            0.288613        0.265709        0.280805
1980-1989        0             0.009833        0.012292        0.011091
1980-1989        1             0.000779        0.000913        0.000848
1980-1989        2             0.000495        0.000632        0.000565
1980-1989        3             0.000362        0.000491        0.000428
1980-1989        4             0.000285        0.000398        0.000343
1980-1989        5             0.000253        0.000336        0.000295
1980-1989        6             0.000231        0.000319        0.000276
1980-1989        7             0.000212        0.000295        0.000254
1980-1989        8             0.000204        0.000295        0.000250
1980-1989        9             0.000186        0.000274        0.000231
1980-1989       10             0.000175        0.000265        0.000221
1980-1989       11             0.000180        0.000286        0.000234
1980-1989       12             0.000199        0.000329        0.000266
1980-1989       13             0.000218        0.000390        0.000306
1980-1989       14             0.000271        0.000494        0.000385
1980-1989       15             0.000342        0.000664        0.000507
1980-1989       16             0.000452        0.000984        0.000724
1980-1989       17             0.000500        0.001235        0.000877
1980-1989       18             0.000555        0.001570        0.001071
1980-1989       19             0.000540        0.001608        0.001080
1980-1989       20             0.000531        0.001650        0.001096
1980-1989       21             0.000556        0.001737        0.001152
1980-1989       22             0.000552        0.001738        0.001150
1980-1989       23             0.000573        0.001752        0.001166
1980-1989       24             0.000575        0.001725        0.001153
1980-1989       25             0.000594        0.001735        0.001167
1980-1989       26             0.000617        0.001742        0.001180
1980-1989       27             0.000634        0.001774        0.001204
1980-1989       28             0.000688        0.001874        0.001280
1980-1989       29             0.000671        0.001776        0.001223
1980-1989       30             0.000712        0.001895        0.001301
1980-1989       31             0.000773        0.001957        0.001361
1980-1989       32             0.000813        0.002036        0.001420
1980-1989       33             0.000875        0.002105        0.001483
1980-1989       34             0.000913        0.002086        0.001495
1980-1989       35             0.000971        0.002229        0.001593
1980-1989       36             0.001067        0.002351        0.001700
1980-1989       37             0.001128        0.002455        0.001782
1980-1989       38             0.001290        0.002710        0.001988
1980-1989       39             0.001301        0.002654        0.001968
1980-1989       40             0.001468        0.002885        0.002165
1980-1989       41             0.001610        0.003147        0.002365
1980-1989       42             0.001795        0.003417        0.002592
1980-1989       43             0.001961        0.003661        0.002793
1980-1989       44             0.002125        0.003893        0.002994
1980-1989       45             0.002367        0.004349        0.003338
1980-1989       46             0.002602        0.004740        0.003647
